Stream_Name,LTER,Latitude,Longitude,Name,drainSqKm,elevation_mean_m,major_soil,major_rock,major_land,median_q,prop_area,precip,evapotrans,temp,npp,cycle0,Max_Daylength
EXE AT PIXTON,UK,51.0234742,-3.5198853,Humid Temperate,159.7,320.2787356,inceptisols,metamorphic,cropland,2.51,0.194868777,3.657403946,38.8852319,10.63833752,7.29E-05,67.31578947,16.45986294
EXE AT THORVERTON,UK,50.8041557,-3.5113367,Humid Temperate,600.9,250.1128776,entisols,sedimentary,cropland,8.98,0.182508898,3.657403946,48.56468579,10.53126233,7.37E-05,62.26315789,16.42130822
EXE AT TREWS WEIR,UK,50.7131593,-3.5239886,Humid Temperate,1191.3,193.1459884,entisols,sedimentary,cropland,13.9,0.175692278,3.657403946,81.14913338,10.53126233,7.61E-05,56.63157895,16.40545586
FAL AT TREGONY,UK,50.2637972,-4.9183989,Humid Temperate,87,128.7832512,entisols,,cropland,1.39,0.173322523,3.657403946,37.40488372,10.97249859,8.47E-05,62.47368421,16.32837848
FANNO CREEK,USGS,45.403452,-122.7548185,Mediterranean,81.58463,115.2228571,alfisols,sedimentary,urban_and_built_up_land,0.48393,0.178374074,5.28897582,461.5605362,11.19447821,0.764769056,61.63157895,15.60158052
FINEALT,NIVA,69.93012506,23.26123667,Subarctic,7373,460.5773238,inceptisols,plutonic; metamorphic,shrubland_grassland,52.811766,0.588962189,1.624584645,266.9260297,-1.880844176,0.178170801,132.6842105,24
FINEPAS,NIVA,69.47172441,30.11008439,Subarctic,18404,222.9149675,inceptisols,metamorphic,evergreen_needleleaf_forest,79.6004437,0.625683288,1.771299406,283.3050761,-1.391960183,0.27104846,125,24
FINETAN,NIVA,70.22984774,28.16465349,Subarctic,16389,327.5049017,gelisols,metamorphic,shrubland_grassland,89.3350966,0.595118378,1.851934795,259.6984912,-1.597201829,0.182743976,128.5263158,24
Flat Brook,USGS,41.10611111,-74.9525,Humid Continental,165.7536,288.1975309,inceptisols,sedimentary,deciduous_broadleaf_forest,2.10394169,0.279346214,3.719588825,747.5943156,9.297922406,0.880304786,109.3684211,15.08008737
FOWEY AT RESTORMEL,UK,50.4404832,-4.6785422,Humid Temperate,169.1,201.0748663,entisols,sedimentary,cropland,3.061,0.181847292,3.657403946,190.357434,10.90272823,8.63E-05,77.15789474,16.35844878
Francisco de Orellana,HYBAM,-0.47,-76.98,Humid Tropical,12305,1418.718333,ultisols,sedimentary,evergreen_broadleaf_forest,1080,0.22618775,6.596644354,231.6864068,18.93945557,0.000156534,122.3684211,12.14724415
Frio River,USGS,29.48833333,-99.70444444,Humid Subtropical,1007.471,605.7270889,mollisols,carbonate_evaporite,cropland,1.78733579,0.126392623,2.089163291,541.8800439,19.89801482,0.588354669,76,14.00017685
FROME AT EAST STOKE TOTAL,UK,50.678955,-2.1556342,Humid Temperate,414.4,117.778563,alfisols,sedimentary; carbonate_evaporite,cropland,5.31,0.167930903,3.004447189,76.96341245,10.69185019,8.40E-05,60.94736842,16.39951875
Gavlean Gavle stadspark,Swedish Goverment,60.673791,17.1267523,Humid Continental,2167.703325,157.2852751,inceptisols,plutonic,evergreen_needleleaf_forest,18,0.628847802,1.963259399,394.172643,4.590348567,0.598865334,98.89473684,18.95988781
Gide alv Gideabacka,Swedish Goverment,63.3455467,19.1156624,Subarctic,3258.034285,331.9695869,spodosols,plutonic,evergreen_needleleaf_forest,31.1,0.690990158,1.989995477,363.1860282,2.044937493,0.478895291,117.8421053,20.27993331
GORE CREEK AT MOUTH,USGS,39.60943048,-106.447808,Subarctic,37.55483,3167.887931,inceptisols,plutonic,evergreen_needleleaf_forest,0.9339,0.700778367,1.262381768,480.7867036,-0.672659061,0.414408788,138.3157895,14.91791941
GORE CREEK UPPER STATION,USGS,39.6258193,-106.2780823,Subarctic,264.1788,3407.291139,inceptisols,plutonic,evergreen_needleleaf_forest,0.185648,0.754258481,1.262381768,439.62706,-0.672659061,0.28075573,148.3684211,14.91964869
Gota Alv Trollhattan,Swedish Goverment,57.7638647,12.0023767,Humid Temperate,10.119393,248.4075787,spodosols,metamorphic,evergreen_needleleaf_forest,0.129,0.525127202,2.557263803,408.4906161,4.551690587,0.575000837,98,17.97380315
GREAT STOUR AT HORTON,UK,51.2997951,1.13585698,Humid Temperate,345,86.36625514,alfisols,carbonate_evaporite,cropland,2.26,0.166595642,2.210941762,375.3976211,10.61848941,9.13E-05,69.47368421,16.50915329
Green Creek at F9,MCM,-77.62409973,163.0597534,Polar Desert,0.053,113.2857143,,metamorphic,,0,NA,0.409367832,NA,NA,NA,NA,24
GREEN RIVER,USGS,42.70341695,-72.67064738,Humid Continental,107.2255,431.7268519,spodosols,sedimentary,deciduous_broadleaf_forest,1.5489315,0.350966577,3.428797203,695.4429032,7.293699399,0.857639244,109.0526316,15.26342558
GSLOOK,AND,44.210126,-122.257146,Mediterranean,62.42,1017.787879,andisols,volcanic,evergreen_needleleaf_forest,2.0659,0.313195399,2.059340877,644.1834496,7.007730412,0.830023659,73.21052632,15.44736083
GSMACK,AND,44.220543,-122.172822,Mediterranean,5.8,1207.411765,andisols,volcanic,evergreen_needleleaf_forest,0.1875441,0.3578921,2.059340877,609.2152834,7.007730412,0.818318045,85,15.44867299
GSWS01,AND,44.207339,-122.258027,Mediterranean,0.96,763.5,inceptisols,volcanic,evergreen_needleleaf_forest,0.0129897,0.2612372,2.059340877,623.6310171,7.007730412,0.850825641,59.84210526,15.44700987
GSWS02,AND,44.212015,-122.244876,Mediterranean,0.6,806,inceptisols,volcanic,evergreen_needleleaf_forest,0.0100748,0.250357594,2.059340877,626.6930155,7.007730412,0.859027273,47.21052632,15.44759873
GSWS03,AND,44.21944,-122.243,Mediterranean,1.01,730.5,inceptisols,volcanic,evergreen_needleleaf_forest,0.0178856,0.236414263,2.059340877,630.0033272,7.007730412,0.867495238,40.31578947,15.44853402
GSWS06,AND,44.261508,-122.180707,Mediterranean,0.13,932.5,inceptisols,volcanic,evergreen_needleleaf_forest,0.0025187,0.2765625,2.059340877,490.1344444,7.007730412,0.815893333,74.69230769,15.45383868
GSWS07,AND,44.264637,-122.175265,Mediterranean,0.154,939,inceptisols,volcanic,evergreen_needleleaf_forest,0.001981,0.274479167,2.059340877,486.6400794,7.007730412,0.819594048,68.47368421,15.45423362
GSWS08,AND,44.26629426,-122.170793,Mediterranean,0.214,1078,andisols,volcanic,evergreen_needleleaf_forest,0.0032262,0.248541667,2.059340877,558.2018254,7.007730412,0.829919048,59.47368421,15.45444282
GSWS09,AND,44.20119,-122.258801,Mediterranean,0.085,531.5,inceptisols,volcanic,evergreen_needleleaf_forest,0.0011037,0.25,2.059340877,584.0380952,7.007730412,0.857261905,59.63157895,15.44623569
GSWS10,AND,44.217057,-122.261056,Mediterranean,0.102,562.5,inceptisols,volcanic,evergreen_needleleaf_forest,0.001415,0.2375,2.059340877,514.2166667,7.007730412,0.846702381,70.84210526,15.44823382
Gunbower Creek,MD,-35.656573,144.124823,Semi-Arid,918.1,98.77895433,oxisol,sedimentary,cropland,1.21,0.126767023,1.252803395,25.98221069,15.4614508,5.56E-05,140.3157895,14.51654312
GUNNISON RIVER,USGS,38.98331575,-108.4506446,Semi-Arid,20520.48,2687.139871,mollisols,sedimentary,shrubland_grassland,48.393,0.670456043,1.163502852,394.8183571,3.673221999,0.367596213,122.1578947,14.85258423
GWYDIR RIVER AT YARRAMAN BRIDGE,Australia,-29.43,149.8,Humid Subtropical,12399.4,676.4105642,oxisol,sedimentary,shrubland_grassland,2.516,0.130298719,1.98072898,75.86666038,15.7570057,7.57E-05,117.1052632,13.98741925
Harnish Creek at F7,MCM,-77.444534,162.6535339,Polar Desert,0.7483484,310.25,,metamorphic,,0,NA,0.409367832,NA,NA,NA,NA,24
Helgean Hammarsjon,Swedish Goverment,55.9434413,14.2193332,Humid Temperate,4128.064678,112.9629018,spodosols,plutonic,cropland,30.2,0.366297699,2.546448408,479.9522023,7.565451397,0.701024879,86.78947368,17.48602279
Heywoods,MD,-36.099278,147.023983,Humid Temperate,15457.7,762.4448814,oxisol,plutonic,evergreen_broadleaf_forest,137.922,0.206457779,2.104971546,158.1554108,11.62907499,0.000129815,103.4210526,14.55773299
HILLABAHATCHEE CREEK,USGS,33.3407222,-85.2267222,Humid Subtropical,43.5118,361.2954545,ultisols,metamorphic,evergreen_needleleaf_forest,0.43016,0.135103383,4.113752051,879.7589036,16.66967634,0.612244344,85.15789474,14.31908927
HOREVOS,NIVA,60.64773836,6.001103242,Subarctic,1492,805.9724269,spodosols,metamorphic,shrubland_grassland,61.6435707,0.683521465,6.127933996,352.3644209,4.101597963,0.263136217,148.4210526,18.94950255
HUDSON RIVER,USGS,41.65175,-73.9437222,Humid Continental,30406.46,357.2842347,inceptisols,sedimentary,deciduous_broadleaf_forest,NA,0.315652336,3.413514656,720.7124076,7.203137539,0.824857249,108.4736842,15.14145853
Huey Creek at F2,MCM,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
HULL AT HEMPHOLME LOCK,UK,53.9438686,-0.3575946,Humid Temperate,378.1,80.39911308,inceptisols,carbonate_evaporite,cropland,2.592,0.250942044,2.649046236,37.19114027,9.431675521,5.72E-05,65.89473684,17.02656788
HUNTER RIVER AT MUSWELLBROOK BRIDGE,Australia,-32.26,150.9,Humid Subtropical,3999.82,587.7137846,oxisol,sedimentary,shrubland_grassland,3.9325,0.138354445,2.493118516,128.9903625,15.75588736,0.000107475,105.0526316,14.21727166
HUNTER RIVER AT SINGLETON,Australia,-32.56,151.2,Humid Subtropical,16472.1,436.0084236,oxisol,sedimentary,evergreen_broadleaf_forest,4.555,0.133056442,2.091989889,186.3200993,15.90179856,0.000106572,91.15789474,14.24260454
I007.0W,UMR,38.9668912,-90.547172,Humid Subtropical,69264,206.1420027,mollisols,sedimentary,cropland,557.51,0.357477751,3.076019207,691.2626761,10.73240682,0.517081502,121.4736842,14.85088916
I080.2M,UMR,39.93919091,-90.5334596,Humid Continental,40968,209.0011078,mollisols,sedimentary,cropland,387.71,0.361622024,3.076019207,687.2846124,10.50355037,0.514004912,122.7894737,14.95290644
IDLE AT MATTERSEY,UK,53.4270204,-1.0142187,Humid Temperate,529,81.30816506,entisols,sedimentary; carbonate_evaporite,cropland,1.95,0.238217862,2.649046236,958.792752,9.401455644,8.33E-05,68.21052632,16.91824349
Iijoki Raasakan voimal,Finnish Environmental Institute,65.3345,25.4116,Subarctic,14191,198.1505239,inceptisols,metamorphic,evergreen_needleleaf_forest,128.6,0.712126528,2.177158284,378.4145905,1.358813777,0.466045117,121.4736842,22.03472526
ILLINOIS RIVER AT FLORENCE,USGS,39.63277778,-90.6077778,Humid Continental,69592.98,208.0145149,mollisols,sedimentary,cropland,0.2264,0.359963526,3.076019207,688.053577,10.53286572,0.515560922,121.8421053,14.92038322
Imnavait Weir,ARC,68.61700844,-149.317878,Subarctic,2.2,943.375,gelisols,sedimentary,tundra,0,0.865178571,0.719095984,177.0266838,-9.455409474,0.184844558,132.7894737,24
Indalsalven Bergeforsen,Swedish Goverment,62.5254063,17.3985488,Subarctic,25712.98584,500.099734,spodosols,metamorphic,evergreen_needleleaf_forest,449,0.55769775,2.368434216,364.3310696,1.745257789,0.407682581,123.9473684,19.80798813
Iowa River,USGS,41.1780861,-91.1820939,Humid Continental,32374.85,303.9701553,mollisols,carbonate_evaporite,cropland,185.931,0.47416487,2.832428975,647.6546434,8.765074066,0.499722358,131.3157895,15.08811113
IRWELL AT ADELPHI WEIR,UK,53.4874118,-2.2682193,Humid Temperate,559.4,217.4771784,inceptisols,sedimentary,cropland,10.9,0.242089879,3.156702961,1852.478613,9.282406165,0.000107619,70.52631579,16.93070359
Itaituba,HYBAM,-4.28,-55.98,Humid Tropical,460974,320.9684842,ultisols,sedimentary,evergreen_broadleaf_forest,9454,0.126248494,5.617865363,154.5671958,25.34019057,0.000100742,41.26315789,12.363442
ITCHEN AT HIGHBRIDGE & ALLBROOK TOTAL,UK,50.9381034,-1.3623596,Humid Temperate,360,113.4176871,alfisols,carbonate_evaporite,cropland,5.012,0.167873749,2.351490433,169.554762,10.39416127,7.12E-05,69.73684211,16.44479644
James River,USGS,47.39972222,-98.79722222,Humid Continental,3107.88,490.5492394,mollisols,sedimentary,cropland,0.1877459,0.512246,1.514526713,460.3006587,4.881314523,0.417824943,139.2105263,15.87896172
JORDAN RIVER,USGS,40.73355737,-111.9232703,Humid Continental,8904.379,1981.334798,mollisols,sedimentary,shrubland_grassland,3.5658,0.568529851,0.993101875,393.2425762,6.246398341,0.355830447,105.4210526,15.03889506
JUGIONG CREEK AT JUGIONG INVERLOCKIE,Australia,-34.79,148.4,Humid Subtropical,2128.73,487.0871892,oxisol,plutonic,cropland,0.568,0.125653832,1.738619543,39.0008005,14.11903908,6.71E-05,145.5789474,14.43745853
Kalajoki 11000,Finnish Environmental Institute,64.25851,23.94188,Subarctic,4247,107.8408212,inceptisols,plutonic,mixed_forest,18,0.678696729,2.108766331,380.7464664,3.185700064,0.537744884,114.0526316,20.92506926
Kalixalven,Swedish Goverment,65.839595,23.173173,Subarctic,28071.52,398.7290034,inceptisols,plutonic,evergreen_needleleaf_forest,226,0.658317446,1.956558294,326.1073764,-0.792844124,0.355041679,127.4210526,23.11891102
KANSAS R,USGS,38.9833375,-94.9646893,Humid Subtropical,154767.3,775.3851161,mollisols,sedimentary,cropland,105.842,0.364604354,1.885168505,431.599868,11.18804588,0.347874364,100.0526316,14.85258648
Katherine River Railway Bridge,Australia,-14.46,132.3,Tropical Savanna,8370.27,290.0151385,oxisol,sedimentary,shrubland_grassland,4.752,0.125,3.572532114,54.7832174,26.2775253,5.22E-05,303.6315789,12.96203583
KEMIJOKI ISOHAARA 14000,Finnish Environmental Institute,65.79239,24.54481,Subarctic,51127,238.4203226,inceptisols,metamorphic,evergreen_needleleaf_forest,461.75,0.675683977,1.862844227,330.3762368,-0.204941218,0.38105533,125.5789474,23.0184688
KENT AT SEDGWICK,UK,54.2807669,-2.7556216,Humid Temperate,209,247.6277666,inceptisols,carbonate_evaporite,cropland,5.31,0.24037785,3.664359685,95.72090613,8.825030847,5.64E-05,76.15789474,17.09930806
KICKING HORSE RIVER AT FIELD IN YOHO NATIONAL PARK,Canada,51.39767,-116.491,Tundra,374.3,2250.586767,inceptisols,sedimentary; carbonate_evaporite,tundra,15.6,0.656912281,1.792947218,567.7126405,-2.58220404,0.08393803,142.4736842,16.52680786
Kiewa River at Bandiana,MD,-36.137705,146.954152,Humid Subtropical,1724.2,662.5732249,oxisol,plutonic,evergreen_broadleaf_forest,12.885,0.214856327,1.918609304,58.81829799,12.21802908,0.000117819,93.94736842,14.56133423
Kiiminkij 13010 4-tien s,Finnish Environmental Institute,65.17982,25.35641,Subarctic,3814,128.4309172,inceptisols,metamorphic,evergreen_needleleaf_forest,28.4,0.738115784,2.184227314,392.1780566,2.239245609,0.505250957,118.8421053,21.82930333
Kolyma,GRO,68.75,161.3,Subarctic,650000,510.6763261,gelisols,sedimentary,tundra,769,0.734633273,1.103281372,313.0530569,-11.49947059,0.21189732,134.3157895,24
KOOTENAY RIVER ABOVE HIGHWAY 93 IN KOOTENAY NATIONAL PARK,Canada,50.88697,-116.046,Subarctic,524.7,1802.197792,inceptisols,sedimentary; carbonate_evaporite,evergreen_needleleaf_forest,1.44,0.582946586,1.792947218,326.0439179,-0.34010305,0.265951617,125.6315789,16.43580832
Koskenkylanjoki 6030,Finnish Environmental Institute,60.49966,25.94238,Humid Continental,895,63.31034483,spodosols,plutonic,evergreen_needleleaf_forest,2.6,0.676224235,2.18268185,414.5393617,5.247965036,0.584810296,116,18.89113435
Kymij Huruksela 033 5600,Finnish Environmental Institute,60.67526,26.76723,Humid Continental,36705,126.0659414,spodosols,plutonic,evergreen_needleleaf_forest,286,0.607295415,2.182644886,394.3236504,3.982976369,0.579770813,111.4736842,18.96047444
Kymijoki Ahvenkoski 001,Finnish Environmental Institute,60.49358,26.45088,Humid Continental,18580,126.0659414,spodosols,plutonic,evergreen_needleleaf_forest,161.1,0.607295415,2.182644886,394.3236504,3.982976369,0.579770813,111.4736842,18.88876139
Kymijoki Kokonkoski 014,Finnish Environmental Institute,60.50865,26.87836,Humid Continental,18580,126.0659414,spodosols,plutonic,evergreen_needleleaf_forest,137.35,0.607295415,2.182644886,394.3236504,3.982976369,0.579770813,111.4736842,18.89464643
Lagan Laholm,Swedish Goverment,56.5156782,13.0515741,Humid Temperate,6085.30851,182.6102062,spodosols,plutonic,evergreen_needleleaf_forest,62.6,0.389088467,2.423962847,432.2308932,6.933406392,0.666610013,87.63157895,17.63122307
Langa Tabiki,HYBAM,4.98,-54.43,Humid Tropical,62651.72195,210.2203578,ultisols,plutonic; metamorphic,evergreen_broadleaf_forest,1341,0.125173961,5.850460253,151.9102931,25.29300086,0.000160082,162.7894737,12.40471012
Lapuanjoki 9900,Finnish Environmental Institute,63.52531,22.52817,Subarctic,4122,97.94658374,inceptisols,plutonic; metamorphic,evergreen_needleleaf_forest,19.1,0.616946865,2.097969657,403.0473434,3.782414631,0.553291211,114.4736842,20.39502761
LEE AT FEILDES WEIR,UK,51.772708,-0.1187066,Humid Temperate,1036,102.0621786,mollisols,sedimentary,cropland,2.76,0.167539935,2.281216097,1184.127007,10.15932059,9.08E-05,61.63157895,16.59543157
LEE AT LEA BRIDGE,UK,51.5426061,-0.0157248,Humid Temperate,1364,91.34353619,alfisols,sedimentary,cropland,4.62,0.171394318,2.281216097,1913.349754,10.15932059,0.000111639,61.63157895,16.55314296
Lena,GRO,66.77,123.37,Subarctic,2400000,561.3854584,gelisols,sedimentary,deciduous_needleleaf_forest,5030,0.598660291,1.138153891,366.1391374,-9.15060639,0.300339901,132.5263158,23.85235232
Lestijoki 10800 8-tien s,Finnish Environmental Institute,64.06265,23.6554,Subarctic,1373,125.0110625,inceptisols,plutonic,mixed_forest,7.1,0.671045884,2.012098259,382.5237864,3.266810113,0.549592532,112.1578947,20.77230932
LEVEN AT NEWBY BRIDGE,UK,54.2447918,-3.0051024,Humid Temperate,247,255.2371134,spodosols,volcanic; carbonate_evaporite,cropland,10.1,0.24297294,3.664359685,415.3004506,8.990788207,7.22E-05,83,17.09145744
LIARD RIVER AT UPPER CROSSING,Canada,60.0507,-128.904,Subarctic,31533.9,1201.805279,inceptisols,sedimentary,tundra,212,0.688661703,1.741655618,331.8415308,-5.135186109,0.150939504,127.4736842,18.72065995
LITTLE ARKANSAS NEAR SEDGWICK,USGS,37.88306739,-97.4244864,Humid Subtropical,3208.995,466.3147666,mollisols,sedimentary,shrubland_grassland,1.56216,0.244495834,2.462345841,484.4496864,13.38653923,0.436417404,60.52631579,14.74107331
LITTLE COTTONWOOD,USGS,40.66430556,-111.898861,Humid Continental,119.1395,2369.004367,mollisols,carbonate_evaporite,evergreen_needleleaf_forest,0.28583,0.695262833,1.140331057,345.8356525,8.45699731,0.245585878,122.1052632,15.03130002
LITTLE OUSE AT ABBEY HEATH,UK,52.5003954,0.36747498,Humid Temperate,688.5,44.48757555,mollisols,sedimentary; carbonate_evaporite,cropland,2.77,0.194016891,2.138705138,87.38726929,9.975024856,6.28E-05,71.94736842,16.73320694
LITTLE RIVER,USGS,35.66453328,-83.7112821,Humid Subtropical,274.5387,1012.795154,inceptisols,sedimentary,mixed_forest,5.7449,0.168322525,3.839993505,756.2132025,12.53935125,0.676488405,94.47368421,14.52784787
Ljusnan Ljusne Strommar,Swedish Goverment,61.2127521,17.0818959,Humid Continental,19795.29722,419.472337,inceptisols,plutonic,evergreen_needleleaf_forest,223,0.591705834,2.379212076,357.858966,1.746741623,0.481620853,111.1052632,19.18306461
LM00.5M,UMR,39.98828037,-90.52039325,Humid Continental,3347,197.7946105,alfisols,sedimentary,cropland,7.7259,0.375270535,3.079763129,701.5439103,11.04414302,0.535679681,112.8421053,14.95814964
LMP73,LMP,43.10297,-70.95216,Humid Continental,479.2,117.387921,inceptisols,metamorphic,deciduous_broadleaf_forest,5.2355,0.383076409,3.669499808,719.9188844,8.824466255,0.751050488,108.6842105,15.31110433
Lock 5,MD,-34.188906,140.765483,Semi-Arid,913753.2,284.8065556,oxisol,sedimentary,shrubland_grassland,67.245,0.176009486,1.562643509,64.46476074,17.38729652,4.62E-05,108.7368421,14.3837493
LODDON AT SHEEPBRIDGE,UK,51.4829993,-0.8795534,Humid Temperate,164.5,99.1875,alfisols,carbonate_evaporite,cropland,1.75,0.168519791,2.351490433,976.0059282,10.25375314,8.93E-05,64.94736842,16.54228442
Lost Seal Stream at F3,MCM,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
Lower Atchafalaya,USGS,29.69281939,-91.2119368,Humid Subtropical,NA,317.5227153,alfisols,sedimentary,shrubland_grassland,3141.3,0.191853984,2.895547658,617.311201,17.33950218,0.422452894,77.89473684,14.01636088
Lulealven,Swedish Goverment,65.6013106,22.0096503,Subarctic,25232.47388,596.9096047,inceptisols,plutonic,evergreen_needleleaf_forest,531,0.589098698,2.477207694,321.4480365,-0.765979003,0.270664432,138.2631579,22.48544837
LUNE AT CATON,UK,54.0768186,-2.7442695,Humid Temperate,983,282.2038516,spodosols,carbonate_evaporite,cropland,17.9,0.234497679,3.156702961,30.89743944,8.178868282,5.49E-05,72.05263158,17.05506653
LX00.1M,UMR,43.8193724,-91.253858,Humid Continental,1219.8,302.7903002,alfisols,sedimentary,cropland,10.6974,0.473786593,2.854663375,735.6760127,7.857904832,0.612681621,106.1052632,15.3985546
Lyckebyan Lyckeby,Swedish Goverment,56.1986758,15.6633202,Humid Temperate,806.224943,145.1983428,spodosols,volcanic; plutonic; metamorphic,evergreen_needleleaf_forest,4.02,0.386620737,2.087018652,450.6831233,7.168545425,0.707922004,89.73684211,17.54994334
LYNHER AT PILLATON MILL,UK,50.4256921,-4.2750143,Humid Temperate,135.5,180.2508143,entisols,sedimentary,cropland,2.709,0.188776874,3.657403946,38.76095754,10.87947145,8.21E-05,66.21052632,16.35591987
M078.0B,UMR,37.60460218,-89.51206363,Humid Subtropical,1844071,300.2715938,alfisols,sedimentary,cropland,5773.2,0.4239381,2.691263826,682.8559824,8.409659528,0.554209326,119.6315789,14.71348537
M241.4K,UMR,39.00474119,-90.68311509,Humid Continental,444183,327.1005889,alfisols,sedimentary,cropland,5263.8,0.438608087,2.568364327,669.6360655,7.522901333,0.557096561,121.3157895,14.85479684
M556.4A,UMR,42.25473653,-90.42071426,Humid Continental,221444,357.729614,alfisols,sedimentary,cropland,1358.4,0.45022807,2.454520984,664.7994502,6.220616954,0.580846303,121.5263158,15.21077875
M701.1B,UMR,43.84931616,-91.29377725,Humid Continental,165322,359.4684198,alfisols,sedimentary,cropland,902.77,0.44954057,2.346352059,650.865502,5.991240847,0.566074782,125,15.40226642
M764.3A,UMR,44.4119671,-92.10064309,Humid Continental,148831,358.5254039,mollisols,sedimentary,cropland,492.42,0.451572733,2.291287259,633.4916892,5.90358458,0.540007956,128.5263158,15.47288911
M786.2C,UMR,44.56223794,-92.44934641,Humid Continental,148831,359.0946215,mollisols,sedimentary,cropland,492.42,0.451088887,2.291287259,632.6656871,5.89141837,0.539690064,128.7368421,15.49203852
MACINTYRE RIVER AT HOLDFAST YELARBON CROSSING,Australia,-28.8,150.7,Humid Subtropical,6923.89,725.4000829,oxisol,volcanic,shrubland_grassland,2.722,0.125631863,2.039598888,76.34881274,15.73759973,8.13E-05,221.6315789,13.9383173
Mackenzie,GRO,67.45,-133.74,Subarctic,1800000,617.8888611,inceptisols,sedimentary,tundra,6620,0.568558935,1.197897595,404.5955889,-3.856400222,0.167663578,123,24
MACQUARIE RIVER AT WARREN WEIR,Australia,-31.73,147.9,Semi-Arid,26492.7,611.9650616,oxisol,sedimentary,shrubland_grassland,6.752,0.129736547,2.091989889,90.85889837,15.2038325,7.93E-05,134.1052632,14.17299307
Manacapuru,HYBAM,-3.3,-60.6,Humid Tropical,2204040,632.2964368,ultisols,sedimentary,evergreen_broadleaf_forest,105600,0.246542083,6.332955802,291.3727208,23.96224681,0.000116272,82.31578947,12.30763115
Maple Creek,USGS,41.56116667,-96.5408333,Humid Continental,953.1156,463.4160237,mollisols,sedimentary; carbonate_evaporite,cropland,1.95836,0.484462638,2.416440799,586.2713219,9.684863972,0.431688067,128.8421053,15.13118254
MARTINELLI,NWT,40.05060202,-105.595805,Subarctic,0.08,3548.5,inceptisols,plutonic,mixed_forest,0.00033565,0.76875,1.093297169,156.0198413,0.903566976,0.256159524,149.2777778,14.96481933
Maumee River,USGS,41.5000526,-83.7127145,Humid Continental,16394.62,249.1975786,alfisols,carbonate_evaporite,cropland,71.316,0.33525094,2.985551612,616.6587071,10.09724848,0.522135107,113.5789474,15.12426952
McDonalds Branch,USGS,39.885,-74.50527778,Humid Subtropical,6.086472,49.75,entisols,sedimentary,mixed_forest,0.048959,0.291279714,3.55394691,724.1448379,12.17766944,0.835954325,113.5263158,14.94712894
MEDWAY AT TESTON / EAST FARLEIGH,UK,51.2960329,0.50867903,Humid Temperate,1256.1,78.73575949,alfisols,sedimentary,cropland,4.45,0.167394182,2.281216097,197.7304912,10.38243406,8.40E-05,68.89473684,16.50847674
MEHI RIVER AT BRONTE,Australia,-29.48,148.9,Semi-Arid,15695.6,588.8588149,oxisol,sedimentary,shrubland_grassland,0.244,0.130010618,1.98072898,103.6018638,16.97563555,6.97E-05,109.7894737,13.99134653
MERCED R,USGS,37.73131496,-119.5590514,Mediterranean,468.7878,2769.744516,entisols,plutonic,shrubland_grassland,3.1413,0.824884721,0.965767098,332.8739827,5.656830415,0.309219519,120.1578947,14.72600816
Merced River,USGS,37.73138889,-119.5580556,Mediterranean,468.7719,2769.744516,entisols,plutonic,shrubland_grassland,2.83168464,0.824869814,0.965767098,332.8680907,5.656830415,0.309261155,120.1578947,14.72601548
MERSEY AT ASHTON WEIR,UK,53.4403364,-2.3898603,Humid Temperate,660,251.8214784,inceptisols,sedimentary,cropland,9.462,0.24292296,2.649046236,2133.658929,8.943528722,0.000114544,69.15789474,16.92098649
MERSEY AT WESTY,UK,53.3874355,-2.5788236,Humid Temperate,2030,178.6665069,inceptisols,sedimentary,cropland,28.875,0.233073648,3.156702961,2317.415462,9.154594303,0.000120485,66.89473684,16.91010385
MG_G_OUT,Catalina Jemez,32.430725,-110.77025,Semi-Arid,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,14.24092051
MG_S_OUT,Catalina Jemez,32.427097,-110.76125,Semi-Arid,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,14.24061261
MG_WEIR,Catalina Jemez,32.427351,-110.757857,Semi-Arid,1.54,2406,mollisols,sedimentary,evergreen_needleleaf_forest,0.00492566,0.386397059,1.073829959,244.2913799,19.98928364,0.162729412,121.1111111,14.24063416
MIDFORD BROOK AT MIDFORD,UK,51.3484844,-2.3402498,Humid Temperate,147.4,130.6666667,entisols,sedimentary,cropland,1.46,0.174298564,3.004447189,162.605624,10.30108878,7.23E-05,53.57894737,16.51792287
Mississippi River above Vicksburg,USGS,32.3397222,-90.9125,Humid Subtropical,2929652.101,715.128343,mollisols,sedimentary,cropland,19328.9,0.411517055,2.324558002,509.934934,9.593368922,0.438378483,106.0526316,14.23320605
Mississippi River at Belle Chasse,USGS,29.85715084,-89.977847,Humid Subtropical,2926687,704.3364605,mollisols,sedimentary,cropland,15140.5,0.411061636,2.376308278,514.9797301,9.777632716,0.438907223,105.7894737,14.02942276
Mississippi River at Grafton,USGS,38.9679722,-90.429,Humid Subtropical,443665,306.7294606,mollisols,sedimentary,cropland,2830,0.427588531,2.64084958,675.935502,8.06240392,0.551199111,121,14.85100069
